locus_tag	ftype	length_bp	gene	EC_number	COG	product
FDGAGDLB_00030	CDS	582				hypothetical protein
FDGAGDLB_00031	CDS	3132				hypothetical protein
FDGAGDLB_00032	CDS	90				hypothetical protein
FDGAGDLB_00033	CDS	924	nat	2.3.1.5	COG2162	Arylamine N-acetyltransferase
FDGAGDLB_00034	CDS	855	dat_1	2.6.1.21		D-alanine aminotransferase
FDGAGDLB_00035	CDS	849	hcaB	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
FDGAGDLB_00036	CDS	939	pgrR_1			HTH-type transcriptional regulator PgrR
FDGAGDLB_00037	CDS	882	ribN_1			Riboflavin transporter
FDGAGDLB_00038	CDS	213				hypothetical protein
FDGAGDLB_00039	CDS	360				hypothetical protein
FDGAGDLB_00040	CDS	882				hypothetical protein
FDGAGDLB_00041	CDS	1284	pyrD	1.3.5.2		Dihydroorotate dehydrogenase (quinone)
FDGAGDLB_00042	CDS	234				hypothetical protein
FDGAGDLB_00043	CDS	1350	hipA	2.7.11.1	COG3550	Serine/threonine-protein kinase toxin HipA
FDGAGDLB_00044	CDS	378				hypothetical protein
FDGAGDLB_00045	CDS	1116		1.-.-.-		NADH oxidase
FDGAGDLB_00046	CDS	228				hypothetical protein
FDGAGDLB_00047	CDS	591				hypothetical protein
FDGAGDLB_00048	CDS	360				hypothetical protein
FDGAGDLB_00049	CDS	279				hypothetical protein
FDGAGDLB_00050	CDS	333				hypothetical protein
FDGAGDLB_00051	CDS	699				hypothetical protein
FDGAGDLB_00052	CDS	321				hypothetical protein
FDGAGDLB_00053	CDS	1317				hypothetical protein
FDGAGDLB_00054	CDS	492				hypothetical protein
FDGAGDLB_00055	CDS	453				hypothetical protein
FDGAGDLB_00056	CDS	294				hypothetical protein
FDGAGDLB_00057	CDS	306				hypothetical protein
FDGAGDLB_00058	CDS	1494				hypothetical protein
FDGAGDLB_00059	CDS	291				hypothetical protein
FDGAGDLB_00060	CDS	714				hypothetical protein
FDGAGDLB_00061	CDS	414				hypothetical protein
FDGAGDLB_00062	CDS	243				hypothetical protein
FDGAGDLB_00063	CDS	867				hypothetical protein
FDGAGDLB_00064	CDS	315				hypothetical protein
FDGAGDLB_00065	CDS	1098				hypothetical protein
FDGAGDLB_00066	CDS	1434				hypothetical protein
FDGAGDLB_00067	CDS	450				hypothetical protein
FDGAGDLB_00068	CDS	1941				hypothetical protein
FDGAGDLB_00069	CDS	579				hypothetical protein
FDGAGDLB_00070	CDS	588				hypothetical protein
FDGAGDLB_00071	CDS	663				hypothetical protein
FDGAGDLB_00072	CDS	276				hypothetical protein
FDGAGDLB_00073	CDS	816				hypothetical protein
FDGAGDLB_00074	CDS	630				hypothetical protein
FDGAGDLB_00075	CDS	675				hypothetical protein
FDGAGDLB_00076	CDS	240				hypothetical protein
FDGAGDLB_00077	CDS	1662				hypothetical protein
FDGAGDLB_00078	CDS	246				hypothetical protein
FDGAGDLB_00079	CDS	507				hypothetical protein
FDGAGDLB_00080	CDS	441				hypothetical protein
FDGAGDLB_00081	CDS	1053	purR_1			HTH-type transcriptional repressor PurR
FDGAGDLB_00082	CDS	1026			COG1638	Solute-binding protein
FDGAGDLB_00083	CDS	603				hypothetical protein
FDGAGDLB_00084	CDS	1278	siaT_1		COG1593	Sialic acid TRAP transporter permease protein SiaT
FDGAGDLB_00085	CDS	540				hypothetical protein
FDGAGDLB_00086	CDS	1272	oiaX	4.1.1.-	COG1850	3-oxo-isoapionate-4-phosphate decarboxylase
FDGAGDLB_00087	CDS	1308	oiaK	2.7.1.-		3-oxo-isoapionate kinase
FDGAGDLB_00088	CDS	621	lexA_1	3.4.21.88		LexA repressor
FDGAGDLB_00089	CDS	3204	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
FDGAGDLB_00090	CDS	813	suhB_1	3.1.3.25	COG0483	Inositol-1-monophosphatase
FDGAGDLB_00091	CDS	1089	potA_1	7.6.2.11	COG3842	Spermidine/putrescine import ATP-binding protein PotA
FDGAGDLB_00092	CDS	2226				hypothetical protein
FDGAGDLB_00093	CDS	1035			COG1840	putative protein
FDGAGDLB_00094	CDS	1053	rbsR		COG1609	Ribose operon repressor
FDGAGDLB_00095	CDS	876	ilvE_1	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
FDGAGDLB_00096	CDS	588				hypothetical protein
FDGAGDLB_00097	CDS	597				hypothetical protein
FDGAGDLB_00098	CDS	1056				hypothetical protein
FDGAGDLB_00099	CDS	582				hypothetical protein
FDGAGDLB_00100	CDS	1593	lysS	6.1.1.6	COG1384	Lysine--tRNA ligase
FDGAGDLB_00101	CDS	1062				hypothetical protein
FDGAGDLB_00102	CDS	2451				hypothetical protein
FDGAGDLB_00103	CDS	2076				hypothetical protein
FDGAGDLB_00104	CDS	408				hypothetical protein
FDGAGDLB_00105	CDS	429				hypothetical protein
FDGAGDLB_00106	CDS	459	ohrR			Organic hydroperoxide resistance transcriptional regulator
FDGAGDLB_00107	CDS	1032	nlhH	3.1.1.1	COG0657	Carboxylesterase NlhH
FDGAGDLB_00108	CDS	426	ohrB		COG1764	Organic hydroperoxide resistance protein OhrB
FDGAGDLB_00109	CDS	297	ycnE	1.-.-.-	COG1359	Putative monooxygenase YcnE
FDGAGDLB_00110	CDS	423				hypothetical protein
FDGAGDLB_00111	CDS	1611		2.7.8.-		Cardiolipin synthase
FDGAGDLB_00112	CDS	528				hypothetical protein
FDGAGDLB_00113	CDS	363				hypothetical protein
FDGAGDLB_00114	CDS	615	eamB		COG1280	Cysteine/O-acetylserine efflux protein
FDGAGDLB_00115	CDS	852	rhaS_1			HTH-type transcriptional activator RhaS
FDGAGDLB_00116	CDS	2781	dinG	3.1.-.-		3'-5' exonuclease DinG
FDGAGDLB_00117	CDS	222				hypothetical protein
FDGAGDLB_00118	CDS	1020				hypothetical protein
FDGAGDLB_00119	CDS	570				hypothetical protein
FDGAGDLB_00120	CDS	1905	silP	7.2.2.15		Silver exporting P-type ATPase
FDGAGDLB_00121	CDS	900	gcvA_1			Glycine cleavage system transcriptional activator
FDGAGDLB_00122	CDS	891				hypothetical protein
FDGAGDLB_00123	CDS	444				hypothetical protein
FDGAGDLB_00124	CDS	645				hypothetical protein
FDGAGDLB_00125	CDS	3144				hypothetical protein
FDGAGDLB_00126	CDS	414				hypothetical protein
FDGAGDLB_00127	CDS	885	glxR	1.1.1.60	COG2084	2-hydroxy-3-oxopropionate reductase
FDGAGDLB_00128	CDS	540				hypothetical protein
FDGAGDLB_00129	CDS	219	slyX			Protein SlyX
FDGAGDLB_00130	CDS	1155				hypothetical protein
FDGAGDLB_00131	CDS	948	yofA		COG0583	HTH-type transcriptional regulator YofA
FDGAGDLB_00132	CDS	1305				hypothetical protein
FDGAGDLB_00133	CDS	924		1.3.1.103		2-haloacrylate reductase
FDGAGDLB_00134	CDS	465				hypothetical protein
FDGAGDLB_00135	CDS	975	pcpR			PCP degradation transcriptional activation protein
FDGAGDLB_00136	CDS	480	greB		COG0782	Transcription elongation factor GreB
FDGAGDLB_00137	CDS	1017		1.3.1.103		2-haloacrylate reductase
FDGAGDLB_00138	CDS	927	dmlR_1			HTH-type transcriptional regulator DmlR
FDGAGDLB_00139	CDS	2505	hrpB	3.6.4.13	COG1643	ATP-dependent RNA helicase HrpB
FDGAGDLB_00140	CDS	1338				hypothetical protein
FDGAGDLB_00141	CDS	1071				hypothetical protein
FDGAGDLB_00142	CDS	1323				hypothetical protein
FDGAGDLB_00143	CDS	453				hypothetical protein
FDGAGDLB_00144	CDS	2214				hypothetical protein
FDGAGDLB_00145	CDS	1467		2.4.1.187		N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase
FDGAGDLB_00146	CDS	1110	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
FDGAGDLB_00147	CDS	1215	mshA_2	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
FDGAGDLB_00148	CDS	1155				hypothetical protein
FDGAGDLB_00149	CDS	753				hypothetical protein
FDGAGDLB_00150	CDS	1485				hypothetical protein
FDGAGDLB_00151	CDS	1839	mshA_3	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
FDGAGDLB_00152	CDS	366				hypothetical protein
FDGAGDLB_00153	CDS	1290	wbpA	1.1.1.136	COG0677	UDP-N-acetyl-D-glucosamine 6-dehydrogenase
FDGAGDLB_00154	CDS	822				hypothetical protein
FDGAGDLB_00155	CDS	3003	leuS	6.1.1.4	COG0495	Leucine--tRNA ligase
FDGAGDLB_00156	CDS	669				hypothetical protein
FDGAGDLB_00157	CDS	1038				hypothetical protein
FDGAGDLB_00158	CDS	942				hypothetical protein
FDGAGDLB_00159	CDS	888				hypothetical protein
FDGAGDLB_00160	CDS	1443				hypothetical protein
FDGAGDLB_00161	CDS	879	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
FDGAGDLB_00162	CDS	738	queC	6.3.4.20	COG0603	7-cyano-7-deazaguanine synthase
FDGAGDLB_00163	CDS	357	queD	4.1.2.50	COG0720	6-carboxy-5,6,7,8-tetrahydropterin synthase
FDGAGDLB_00164	CDS	783	queE	4.3.99.3	COG0602	7-carboxy-7-deazaguanine synthase
FDGAGDLB_00165	CDS	162				hypothetical protein
FDGAGDLB_00166	CDS	303				hypothetical protein
FDGAGDLB_00167	CDS	330				hypothetical protein
FDGAGDLB_00168	CDS	672				hypothetical protein
FDGAGDLB_00169	CDS	1329				hypothetical protein
FDGAGDLB_00170	CDS	585				hypothetical protein
FDGAGDLB_00171	CDS	1212	mdtA_1			Multidrug resistance protein MdtA
FDGAGDLB_00172	CDS	3195	swrC		COG0841	Swarming motility protein SwrC
FDGAGDLB_00173	CDS	900				hypothetical protein
FDGAGDLB_00174	CDS	921				hypothetical protein
FDGAGDLB_00175	CDS	861				hypothetical protein
FDGAGDLB_00176	CDS	768	psd	4.1.1.65	COG0688	Phosphatidylserine decarboxylase proenzyme
FDGAGDLB_00177	CDS	1173				hypothetical protein
FDGAGDLB_00178	CDS	993				hypothetical protein
FDGAGDLB_00179	CDS	585		3.2.2.-	COG1611	Putative cytokinin riboside 5'-monophosphate phosphoribohydrolase
FDGAGDLB_00180	CDS	999		1.18.1.2		Ferredoxin--NADP reductase
FDGAGDLB_00181	CDS	786	glpR_1		COG1349	Glycerol-3-phosphate regulon repressor
FDGAGDLB_00182	CDS	1134	msmX_1	7.5.2.-	COG3839	Oligosaccharides import ATP-binding protein MsmX
FDGAGDLB_00183	CDS	1266	ugpB_1		COG1653	sn-glycerol-3-phosphate-binding periplasmic protein UgpB
FDGAGDLB_00184	CDS	894	lacF_1			Lactose transport system permease protein LacF
FDGAGDLB_00185	CDS	849	araQ_1		COG0395	L-arabinose transport system permease protein AraQ
FDGAGDLB_00186	CDS	954				hypothetical protein
FDGAGDLB_00187	CDS	1992	yjcS	3.1.6.-	COG2015	Putative alkyl/aryl-sulfatase YjcS
FDGAGDLB_00188	CDS	414				hypothetical protein
FDGAGDLB_00189	CDS	396				hypothetical protein
FDGAGDLB_00190	CDS	1611	emrB			Colistin resistance protein EmrB
FDGAGDLB_00191	CDS	1104	emrA			Colistin resistance protein EmrA
FDGAGDLB_00192	CDS	588				hypothetical protein
FDGAGDLB_00193	CDS	168				hypothetical protein
FDGAGDLB_00194	CDS	1215	icd	1.1.1.42	COG0538	Isocitrate dehydrogenase [NADP]
FDGAGDLB_00195	CDS	981				hypothetical protein
FDGAGDLB_00196	CDS	2544				hypothetical protein
FDGAGDLB_00197	CDS	1875	sctC_1			Type 3 secretion system secretin
FDGAGDLB_00198	CDS	2595				hypothetical protein
FDGAGDLB_00199	CDS	813				hypothetical protein
FDGAGDLB_00200	CDS	864				hypothetical protein
FDGAGDLB_00201	CDS	603	pnpB	1.6.5.6		p-benzoquinone reductase
FDGAGDLB_00202	CDS	1092	glpQ	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase, periplasmic
FDGAGDLB_00203	CDS	1707	rocB		COG4187	Protein RocB
FDGAGDLB_00204	CDS	417				hypothetical protein
FDGAGDLB_00205	CDS	1188				hypothetical protein
FDGAGDLB_00206	CDS	846				hypothetical protein
FDGAGDLB_00207	CDS	993				hypothetical protein
FDGAGDLB_00208	CDS	624				hypothetical protein
FDGAGDLB_00209	CDS	1089				hypothetical protein
FDGAGDLB_00210	CDS	864				hypothetical protein
FDGAGDLB_00211	CDS	792	ydcV_1			Inner membrane ABC transporter permease protein YdcV
FDGAGDLB_00212	CDS	1116	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
FDGAGDLB_00213	CDS	732	gloB_1	3.1.2.6		Hydroxyacylglutathione hydrolase
FDGAGDLB_00214	CDS	1425	ald_1	1.2.1.83		3-succinoylsemialdehyde-pyridine dehydrogenase
FDGAGDLB_00215	CDS	717				hypothetical protein
FDGAGDLB_00216	CDS	843	lapB_1			Lipopolysaccharide assembly protein B
FDGAGDLB_00217	CDS	1260				hypothetical protein
FDGAGDLB_00218	CDS	762				hypothetical protein
FDGAGDLB_00219	CDS	1350			COG4325	putative protein
FDGAGDLB_00220	CDS	1356				hypothetical protein
FDGAGDLB_00221	CDS	2655	alaS_1	6.1.1.7	COG0013	Alanine--tRNA ligase
FDGAGDLB_00222	CDS	306				hypothetical protein
FDGAGDLB_00223	CDS	141				hypothetical protein
FDGAGDLB_00224	CDS	177				hypothetical protein
FDGAGDLB_00225	CDS	141				hypothetical protein
FDGAGDLB_00226	CDS	1047				hypothetical protein
FDGAGDLB_00227	CDS	1065				hypothetical protein
FDGAGDLB_00228	CDS	1074	recA		COG0468	Protein RecA
FDGAGDLB_00229	CDS	480	nikR		COG0864	Nickel-responsive regulator
FDGAGDLB_00230	CDS	798				hypothetical protein
FDGAGDLB_00231	CDS	570				hypothetical protein
FDGAGDLB_00232	CDS	900				hypothetical protein
FDGAGDLB_00233	CDS	681				hypothetical protein
FDGAGDLB_00234	CDS	717				hypothetical protein
FDGAGDLB_00235	CDS	405	nsrR_1		COG1959	HTH-type transcriptional repressor NsrR
FDGAGDLB_00236	CDS	402	ctb		COG2346	Group 3 truncated hemoglobin ctb
FDGAGDLB_00237	CDS	1215	hmp_1	1.14.12.17		Flavohemoprotein
FDGAGDLB_00238	CDS	1038				hypothetical protein
FDGAGDLB_00239	CDS	2616	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
FDGAGDLB_00240	CDS	2022				hypothetical protein
FDGAGDLB_00241	CDS	1071	flhB		COG1377	Flagellar biosynthetic protein FlhB
FDGAGDLB_00242	CDS	765				hypothetical protein
FDGAGDLB_00243	CDS	270				hypothetical protein
FDGAGDLB_00244	CDS	327	fliE			Flagellar hook-basal body complex protein FliE
FDGAGDLB_00245	CDS	408	flgC		COG1558	Flagellar basal-body rod protein FlgC
FDGAGDLB_00246	CDS	402				hypothetical protein
FDGAGDLB_00247	CDS	279	csrA			Translational regulator CsrA
FDGAGDLB_00248	CDS	417				hypothetical protein
FDGAGDLB_00249	CDS	336				hypothetical protein
FDGAGDLB_00250	CDS	387				hypothetical protein
FDGAGDLB_00251	CDS	822				hypothetical protein
FDGAGDLB_00252	CDS	1332	esiB			Secretory immunoglobulin A-binding protein EsiB
FDGAGDLB_00253	CDS	3519				hypothetical protein
FDGAGDLB_00254	CDS	729				hypothetical protein
FDGAGDLB_00255	CDS	864				hypothetical protein
FDGAGDLB_00256	CDS	642				hypothetical protein
FDGAGDLB_00257	CDS	387	cheY_1		COG0784	Chemotaxis protein CheY
FDGAGDLB_00258	CDS	717				hypothetical protein
FDGAGDLB_00259	CDS	750				hypothetical protein
FDGAGDLB_00260	CDS	1140	fliM		COG1868	Flagellar motor switch protein FliM
FDGAGDLB_00261	CDS	537				hypothetical protein
FDGAGDLB_00262	CDS	768	flgG_1		COG4786	Flagellar basal-body rod protein FlgG
FDGAGDLB_00263	CDS	786	flgG_2		COG4786	Flagellar basal-body rod protein FlgG
FDGAGDLB_00264	CDS	1017				hypothetical protein
FDGAGDLB_00265	CDS	774	flgH			Flagellar L-ring protein
FDGAGDLB_00266	CDS	192				hypothetical protein
FDGAGDLB_00267	CDS	417	dksA_1		COG1734	RNA polymerase-binding transcription factor DksA
FDGAGDLB_00268	CDS	444	fliX			Flagellar assembly protein FliX
FDGAGDLB_00269	CDS	1143	flgI			Flagellar P-ring protein
FDGAGDLB_00270	CDS	348				hypothetical protein
FDGAGDLB_00271	CDS	462				hypothetical protein
FDGAGDLB_00272	CDS	2409				hypothetical protein
FDGAGDLB_00273	CDS	1230				hypothetical protein
FDGAGDLB_00274	CDS	471	fliW_1			Flagellar assembly factor FliW
FDGAGDLB_00275	CDS	2298	ycf3			Photosystem I assembly protein Ycf3
FDGAGDLB_00276	CDS	1173	fliC_1			A-type flagellin
FDGAGDLB_00277	CDS	1170	fliC_2			A-type flagellin
FDGAGDLB_00278	CDS	366				hypothetical protein
FDGAGDLB_00279	CDS	1773				hypothetical protein
FDGAGDLB_00280	CDS	498				hypothetical protein
FDGAGDLB_00281	CDS	1611				hypothetical protein
FDGAGDLB_00282	CDS	774				hypothetical protein
FDGAGDLB_00283	CDS	1740	flgE_1		COG1749	Flagellar hook protein FlgE
FDGAGDLB_00284	CDS	1740	flgE_2		COG1749	Flagellar hook protein FlgE
FDGAGDLB_00285	CDS	1602	fliF		COG1766	Flagellar M-ring protein
FDGAGDLB_00286	CDS	1467				hypothetical protein
FDGAGDLB_00287	CDS	363				hypothetical protein
FDGAGDLB_00288	CDS	795	pomA_1		COG1291	Chemotaxis protein PomA
FDGAGDLB_00289	CDS	1557	norR_1			Anaerobic nitric oxide reductase transcription regulator NorR
FDGAGDLB_00290	CDS	1683	flhA_1		COG1298	Flagellar biosynthesis protein FlhA
FDGAGDLB_00291	CDS	441	flhA_2		COG1298	Flagellar biosynthesis protein FlhA
FDGAGDLB_00292	CDS	987	srp54			Signal recognition particle 54 kDa protein
FDGAGDLB_00293	CDS	789	ylxH		COG0455	Flagellum site-determining protein YlxH
FDGAGDLB_00294	CDS	1608				hypothetical protein
FDGAGDLB_00295	CDS	402				hypothetical protein
FDGAGDLB_00296	CDS	555	ybiX_1	1.14.11.-		PKHD-type hydroxylase YbiX
FDGAGDLB_00297	CDS	651	cysA	7.3.2.3	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
FDGAGDLB_00298	CDS	1686				hypothetical protein
FDGAGDLB_00299	CDS	1230	ynjB		COG4134	Protein YnjB
FDGAGDLB_00300	CDS	735				hypothetical protein
FDGAGDLB_00301	CDS	480				hypothetical protein
FDGAGDLB_00302	CDS	573				hypothetical protein
FDGAGDLB_00303	CDS	429				hypothetical protein
FDGAGDLB_00304	CDS	1590	atpB_1	7.1.2.2		ATP synthase subunit beta
FDGAGDLB_00305	CDS	696	ctrA			Cell cycle response regulator CtrA
FDGAGDLB_00306	CDS	642				hypothetical protein
FDGAGDLB_00307	CDS	1446				hypothetical protein
FDGAGDLB_00308	CDS	1698	cheB_1	3.5.1.44		Protein-glutamate methylesterase/protein-glutamine glutaminase
FDGAGDLB_00309	CDS	366	cheY_2		COG0784	Chemotaxis protein CheY 
FDGAGDLB_00310	CDS	507	cheW		COG0835	Chemotaxis protein CheW
FDGAGDLB_00311	CDS	2676	rcsC_3	2.7.13.3		Sensor histidine kinase RcsC
FDGAGDLB_00312	CDS	609	chpT	2.7.99.-		Protein phosphotransferase ChpT
FDGAGDLB_00313	CDS	186				hypothetical protein
FDGAGDLB_00314	CDS	819				hypothetical protein
FDGAGDLB_00315	CDS	999	moaA	4.1.99.22		GTP 3',8-cyclase
FDGAGDLB_00316	CDS	495				hypothetical protein
FDGAGDLB_00317	CDS	234			COG0271	putative protein RP812
FDGAGDLB_00318	CDS	909	rarD		COG2962	Protein RarD
FDGAGDLB_00319	CDS	336	grxD		COG0278	Glutaredoxin 4
FDGAGDLB_00320	CDS	2214				hypothetical protein
FDGAGDLB_00321	CDS	426				hypothetical protein
FDGAGDLB_00322	CDS	618	rpsD		COG0522	30S ribosomal protein S4
FDGAGDLB_00323	CDS	585				hypothetical protein
FDGAGDLB_00324	CDS	783	trmJ	2.1.1.-		tRNA (cytidine/uridine/adenosine-2'-O-)-methyltransferase TrmJ
FDGAGDLB_00325	CDS	1614	cimA	2.3.1.182	COG0119	(R)-citramalate synthase
FDGAGDLB_00326	CDS	261				hypothetical protein
FDGAGDLB_00327	CDS	702				hypothetical protein
FDGAGDLB_00328	CDS	657	rhtC_1		COG1280	Threonine efflux protein
FDGAGDLB_00329	CDS	1296	ycaD_1			putative MFS-type transporter YcaD
FDGAGDLB_00330	CDS	717				hypothetical protein
FDGAGDLB_00331	CDS	951	ydjG	1.1.1.-	COG0667	NADH-specific methylglyoxal reductase
FDGAGDLB_00332	CDS	375	adhR		COG0789	HTH-type transcriptional regulator AdhR
FDGAGDLB_00333	CDS	396				hypothetical protein
FDGAGDLB_00334	CDS	1377	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
FDGAGDLB_00335	CDS	1353	gltX_1	6.1.1.17		Glutamate--tRNA ligase
FDGAGDLB_00336	CDS	1668	nadE	6.3.5.1	COG0171	Glutamine-dependent NAD(+) synthetase
FDGAGDLB_00337	CDS	345				hypothetical protein
FDGAGDLB_00338	CDS	1362	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
FDGAGDLB_00339	CDS	576				hypothetical protein
FDGAGDLB_00340	CDS	486				hypothetical protein
FDGAGDLB_00341	CDS	1383	aroH	2.5.1.54	COG3200	Phospho-2-dehydro-3-deoxyheptonate aldolase
FDGAGDLB_00342	CDS	744				hypothetical protein
FDGAGDLB_00343	CDS	567	yigZ		COG1739	IMPACT family member YigZ
FDGAGDLB_00344	CDS	390				hypothetical protein
FDGAGDLB_00345	CDS	1026	gntR_1			HTH-type transcriptional regulator GntR
FDGAGDLB_00346	CDS	600	gntK	2.7.1.12	COG3265	Thermoresistant gluconokinase
FDGAGDLB_00347	CDS	1029			COG4663	Lactate-binding periplasmic protein
FDGAGDLB_00348	CDS	606				hypothetical protein
FDGAGDLB_00349	CDS	1308	siaT_2		COG1593	Sialic acid TRAP transporter permease protein SiaT
FDGAGDLB_00350	CDS	1017	acdS	3.5.99.7		1-aminocyclopropane-1-carboxylate deaminase
FDGAGDLB_00351	CDS	510	lrp_1		COG1522	Leucine-responsive regulatory protein
FDGAGDLB_00352	CDS	1362	garB	1.8.1.16		Glutathione amide reductase
FDGAGDLB_00353	CDS	420				hypothetical protein
FDGAGDLB_00354	CDS	1449	dgt_1	3.1.5.1		Deoxyguanosinetriphosphate triphosphohydrolase
FDGAGDLB_00355	CDS	1038				hypothetical protein
FDGAGDLB_00356	CDS	1284	icaA	2.4.1.-	COG1215	Poly-beta-1,6-N-acetyl-D-glucosamine synthase
FDGAGDLB_00357	CDS	1332				hypothetical protein
FDGAGDLB_00358	CDS	744	cysH	1.8.4.8	COG0175	Phosphoadenosine phosphosulfate reductase
FDGAGDLB_00359	CDS	561	cysG_1	4.99.1.4		Siroheme synthase
FDGAGDLB_00360	CDS	1068	ctaA	1.3.-.-	COG1612	Heme A synthase
FDGAGDLB_00361	CDS	1269				hypothetical protein
FDGAGDLB_00362	CDS	1434	tldD	3.4.-.-	COG0312	Metalloprotease TldD
FDGAGDLB_00363	CDS	1557				hypothetical protein
FDGAGDLB_00364	CDS	1437				hypothetical protein
FDGAGDLB_00365	CDS	2292				hypothetical protein
FDGAGDLB_00366	CDS	1023	ltaE_1	4.1.2.48		Low specificity L-threonine aldolase
FDGAGDLB_00367	CDS	1020	ltaE_2	4.1.2.48		Low specificity L-threonine aldolase
FDGAGDLB_00368	CDS	1608	dppA_1		COG0747	Periplasmic dipeptide transport protein
FDGAGDLB_00369	CDS	1011	dppB_1		COG0601	Dipeptide transport system permease protein DppB
FDGAGDLB_00370	CDS	924	dppC		COG1173	Dipeptide transport system permease protein DppC
FDGAGDLB_00371	CDS	1014	dppD		COG0444	Dipeptide transport ATP-binding protein DppD
FDGAGDLB_00372	CDS	996	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
FDGAGDLB_00373	CDS	657	rhtB_1		COG1280	Homoserine/homoserine lactone efflux protein
FDGAGDLB_00374	CDS	531				hypothetical protein
FDGAGDLB_00375	CDS	507				hypothetical protein
FDGAGDLB_00376	CDS	501				hypothetical protein
FDGAGDLB_00377	CDS	1392	fumC	4.2.1.2	COG0114	Fumarate hydratase class II
FDGAGDLB_00378	CDS	798	glcR		COG1349	HTH-type transcriptional repressor GlcR
FDGAGDLB_00379	CDS	999	ptxB			putative phosphite transport system-binding protein PtxB
FDGAGDLB_00380	CDS	798	phnC_1	7.3.2.1	COG3638	Phosphate-import ATP-binding protein PhnC
FDGAGDLB_00381	CDS	807	phnE_1		COG3639	Phosphate-import permease protein PhnE
FDGAGDLB_00382	CDS	825	phnE_2		COG3639	Phosphate-import permease protein PhnE
FDGAGDLB_00383	CDS	1521	eryB_1	1.1.1.402	COG0578	D-erythritol 1-phosphate dehydrogenase
FDGAGDLB_00384	CDS	303				hypothetical protein
FDGAGDLB_00385	CDS	1371	egtA	6.3.2.2		Glutamate--cysteine ligase EgtA
FDGAGDLB_00386	CDS	801	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
FDGAGDLB_00387	CDS	954	ubiA	2.5.1.39	COG0382	4-hydroxybenzoate octaprenyltransferase
